author,title,language,token_list_length,node_count,edge_count,average_degree,median_degree,diameter,average_distance,betweenness_min,betweenness_max,betweenness_average,betweenness_standard_deviation,average_clustering,powerlaw_alpha_value,powerlaw_xmin_value,lin_reg_approximation,assortativity_coefficient,stopwords_removed,link_distance,fixed_token_count
Kafka,Prozess,de,13062,3008,20147,13.3956117021277,4,6,2.84553417911398,0,0.150186646160219,0.000613950159385889,0.00531458569711713,0.462049259760908,2.63865512360613,37,0.0456039389994912,-0.145797833505812,True,2,13062
Nietzsche,Zarathustra,de,13062,3052,21345,13.9875491480996,4,6,2.93512858942753,0,0.120090056665505,0.000634468389976238,0.00372819589105471,0.45208025436946,2.35175068415766,24,-0.175427726405348,-0.105827078134958,True,2,13062
Nietzsche,Geburt,de,13062,4372,23830,10.9011893870082,4,7,3.19414870069155,0,0.19395965509327,0.00050209352418571,0.00393596078191385,0.412173163935204,2.79770350780799,49,-0.0148729532697471,-0.0702634767959532,True,2,13062
Nietzsche,Jenseits,en,13062,3577,22804,12.7503494548504,4,7,3.07272585415521,0,0.160954849014859,0.000579783455707752,0.00440804957670243,0.414487541766095,3.55756574059005,100,-0.0144389909335176,-0.0814185390138641,True,2,13062
Kafka,Verwandlung,de,9732,2769,16860,12.1776814734561,4,6,2.91471222473421,0,0.207604384092355,0.00069198128830293,0.00573938615940212,0.448848663446073,2.69063687390443,40,0.0666309265828552,-0.117465736824605,True,2,13062
Kafka,Verwandlung,en,10558,1920,16479,17.165625,7,5,2.75784045509814,0,0.11956824199788,0.00091649658764241,0.00511213958579924,0.43659728682857,3.03668431347192,60,0.225410971230995,-0.126292727926938,True,2,13062
Kafka,Schloss,de,13062,3106,19677,12.6703155183516,4,6,2.88097588896044,0,0.134109443860821,0.000605984500309419,0.00513334246154041,0.474060094549308,2.46349017544296,26,-0.0286813873871352,-0.151507182802602,True,2,13062
Nietzsche,Menschliches,en,13062,3009,23245,15.4503157195081,6,10,3.0321091247534,0,0.0925999292923131,0.000675792858248553,0.00334167907292649,0.387950319556751,2.37211334421981,22,0.163808349315446,-0.0586331627099308,True,2,13062
Austen,Stolz,en,13062,2307,20450,17.728651928912,8,6,2.78487434637445,0,0.143652125136323,0.000774348957212344,0.00491648957665776,0.420105306033345,2.79947945496668,50,0.529316920593512,-0.113533158052681,True,2,13062
Austen,Anna,de,38490,5433,30297,11.1529541689674,3,11,3.26796804668573,0,0.128217647145128,0.000417596767940662,0.0031000800992797,0.150267946283171,2.27036550305206,18,-0.899963493847988,-0.119120356683464,True,1,0
Austen,Mansfield,de,81527,9664,61911,12.8127069536424,4,8,3.18338759146824,0,0.13151440875411,0.000225976774111803,0.0023640770874228,0.164155642675056,2.25291729618946,28,-0.854685451544025,-0.124769780754653,True,1,0
Hesse,Steppenwolf,de,33858,7968,30117,7.55948795180723,2,11,3.68605704983862,0,0.0973055574537723,0.000337190189535352,0.00236876750956258,0.0835938963265503,2.69030264924056,42,-1.1140807008204,-0.0612342437126294,True,1,0
Hesse,Siddhartha,en,19340,2702,14706,10.8852701702443,4,7,3.17069835417483,0,0.136763164855895,0.000803962353398084,0.00446777292216875,0.160526022390103,3.56164941067387,73,-0.831450830746032,-0.0883196314115041,True,1,0
Hesse,Demian,de,22144,5131,19460,7.58526603001364,2,10,3.56478402311676,0,0.0842358052563047,0.0005000553759245,0.00308822509269851,0.101641417444088,3.15651552397097,70,-1.11851848963769,-0.0808938070397509,True,1,0
Nietzsche,Jenseits,de,30370,7402,26409,7.13563901648203,2,9,3.62461837514308,0,0.162560426261143,0.000354678158803119,0.00352913203238966,0.0995165049424625,2.37149145244548,16,-1.17870079027573,-0.0890826036581945,True,1,0
Hesse,Demian,en,24682,3941,20491,10.3988835320985,4,7,3.29333906079134,0,0.157321967239417,0.000582213521399173,0.00356419645289562,0.122018115286895,2.73424185950417,40,-0.835305526419249,-0.0740000084230178,True,1,0
Nietzsche,Goetzen,de,13062,4076,11724,5.75269872423945,2,13,3.79116853404938,0,0.166479594829317,0.000685117460493221,0.00521570088890194,0.0850512079185229,2.81390629927147,25,-1.2919156081592,-0.0884840800348944,True,1,0
Kafka,Amerika,en,49302,5342,33933,12.704230625234,4,7,3.0309085126671,0,0.293874027522287,0.000380319946192342,0.00457217133802055,0.224700724146851,2.00625154330102,6,-0.820711365226983,-0.113166032547293,True,1,0
Kafka,Schloss,en,60042,5064,39354,15.542654028436,4,6,2.9381479768815,0,0.292933879463096,0.000382881860308475,0.00450849713025362,0.252879165356418,3.55053440181374,181,-0.744815506737441,-0.120040343928547,True,1,0
Austen,Verstand,en,57956,4687,41732,17.8075528056326,4,9,2.95870863015828,0,0.224412749366051,0.000418080817536452,0.00379044380650084,0.209601733603014,2.94059321874106,100,-0.591633227905806,-0.118529671721621,True,1,0
Hesse,Steppenwolf,en,34856,5731,29569,10.3189670214622,4,8,3.36996123163482,0,0.132575525967329,0.000413677994699741,0.00274827150219939,0.105983665161652,2.19021953676141,8,-0.899634841411598,-0.0655247483230603,True,1,0
Nietzsche,Zarathustra,en,48135,6297,34854,11.0700333492139,3,10,3.17654617202399,0,0.152664046815533,0.00034575793042478,0.00302398602948214,0.200207162985476,2.30596616144389,29,-0.915544439217593,-0.147901531796733,True,1,0
Nietzsche,Menschliches,de,40514,8645,36572,8.46084441873916,2,18,3.5954639383851,0,0.194202496498317,0.000300296649124737,0.00270268503714345,0.0816934042676039,2.35495157786729,22,-1.04721975926568,-0.0664777087762566,True,1,0
Austen,Stolz,de,49225,6294,38540,12.2465840483,4,8,3.19294558174428,0,0.131804731722956,0.00034852917700958,0.00309945144011737,0.137999213625178,2.34685091057536,27,-0.806671035682137,-0.106096975990421,True,1,0
Austen,Anna,en,40115,4598,31174,13.5598086124402,4,11,3.1870916817642,0,0.0713490159502308,0.000475868512133203,0.00261720340860689,0.134096311011878,2.18837773655851,20,-0.747447518607606,-0.0989768060282305,True,1,0
Kafka,Amerika,de,46176,7219,35645,9.87532899293531,2,8,3.23267937189395,0,0.138882267458533,0.00030936391463128,0.00317151486917194,0.168997798768353,2.48035333758852,37,-0.979653735887351,-0.131386933088431,True,1,0
Austen,Verstand,de,58394,7116,44418,12.4839797639123,4,18,3.24021102761704,0,0.133371068260905,0.000314901746923958,0.00279472740000573,0.153394824464649,2.79120935198959,69,-0.822061214260785,-0.117161820672671,True,1,0
Kafka,Prozess,en,40862,3368,27050,16.062945368171,4,6,2.93006489562309,0,0.106549578455397,0.000573400147243937,0.00384757621153872,0.233991130306894,2.85738785259747,76,-0.64029474154909,-0.151812645142132,True,1,0
Austen,Mansfield,en,76352,6417,55204,17.2055477637525,4,8,3.06904028109561,0,0.0715428143130557,0.000322531610459175,0.00206955812512327,0.208013394275415,2.53314868017171,65,-0.735263977667957,-0.132147344176523,True,1,0
Nietzsche,Goetzen,en,15221,3750,13341,7.1152,2,11,3.56000085356095,0,0.311946485746733,0.000683031177577628,0.00578401489197203,0.0860254072374811,2.81544787089764,30,-1.07537554345162,-0.0684585377819036,True,1,0
Nietzsche,Geburt,en,23121,4858,20601,8.48126801152738,3,11,3.63793095118156,0,0.0863833814650764,0.00054323125024332,0.00272267965784508,0.0665097650845796,2.35654423359336,14,-0.980500675347611,-0.0298622512484015,True,1,0
Hesse,Siddhartha,de,17052,3477,14065,8.0903077365545,2,9,3.48032806742847,0,0.142002292233582,0.000713763472641286,0.00421515572211915,0.125563447550055,2.24137732811625,8,-1.01120067761986,-0.0735627049805147,True,1,0
Hesse,Camenzind,en,23906,5281,21316,8.07271350123083,2,14,3.63495973271821,0,0.128177893911097,0.00049913993800307,0.00316096065119303,0.0695948932315233,2.87101912397134,40,-1.00740901169999,-0.0558617770906567,True,1,0
Hesse,Camenzind,de,22819,6514,21171,6.50015351550507,2,14,3.86324806752665,0,0.0912965871783099,0.000439687971057532,0.00269241862596839,0.0511048540795122,2.84966364688056,37,-1.19540476343679,-0.0508225380001315,True,1,0
Kafka,Prozess,de,37311,5638,28012,9.93685704150408,3,8,3.17320888824113,0,0.14033613035939,0.000385594195926389,0.00384865786993256,0.186290915558204,2.67212191470815,56,-0.959689608322595,-0.13700713242141,True,1,0
Nietzsche,Zarathustra,de,44251,7396,34400,9.30232558139535,2,11,3.55647235078735,0,0.0951773619468233,0.000345749574085387,0.00258238687727371,0.153792838274952,2.32728528383727,29,-1.01861271403784,-0.0997118702589456,True,1,0
Nietzsche,Geburt,de,21351,5910,19408,6.5678510998308,2,10,3.7342481098694,0,0.221761811609223,0.000462804351704367,0.00370690656922708,0.0668371062535211,2.46552590847052,14,-1.21528384650407,-0.0641483625566118,True,1,0
Nietzsche,Jenseits,en,32188,6074,27575,9.07968389858413,2,11,3.49023213941714,0,0.168428321745426,0.000410117282512704,0.00343711746084062,0.0948286319217528,3.3608323212188,84,-0.99115945642427,-0.0803171447783879,True,1,0
Kafka,Verwandlung,de,9732,2769,8689,6.27591188154568,2,8,3.51560709298029,0,0.229161843627051,0.000909146040108526,0.00644778450842999,0.103614621045664,2.64943458468897,20,-1.21013380124632,-0.0987816819411209,True,1,0
Kafka,Verwandlung,en,10558,1920,8549,8.90520833333333,3.5,7,3.25801415667883,0,0.1294766783145,0.00117727536844569,0.00590224065991957,0.136793391025902,2.90682038287583,30,-0.864502240224841,-0.0955918371721649,True,1,0
